name,release_date,price,developers,categories,genres,pct_pos_total,pct_pos_recent,num_reviews_total
ShellShock Live,2020-05-22,9.99,['kChamp Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Massively Multiplayer,93,94,28685
Shakes and Fidget,2016-02-24,0.0,['Playa Games GmbH'],"['Single-player', 'Multi-player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'In-App Purchases']",Massively Multiplayer,92,83,36488
武林至尊传,2024-07-19,0.0,['至尊传奇'],"['Multi-player', 'MMO', 'In-App Purchases']",Massively Multiplayer,91,-1,33604
三国.名将传,2024-10-14,0.0,['TopWar Limited'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",Massively Multiplayer,91,-1,33601
Legend of the Dark War God,2024-12-12,0.0,['暗黑战神'],"['Multi-player', 'MMO', 'PvP', 'In-App Purchases']",Massively Multiplayer,91,-1,33604
DRAGON BALL XENOVERSE 2,2016-10-27,19.99,"['QLOC', 'DIMPS']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Massively Multiplayer,90,91,39323
Holdfast: Nations At War,2020-03-05,19.99,['Anvil Game Studios'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Includes Source SDK']",Massively Multiplayer,90,89,22336
Rec Room,2021-09-02,0.0,['Rec Room'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'SteamVR Collectibles', 'In-App Purchases', 'Includes level editor']",Massively Multiplayer,90,83,69763
Path of Exile,2013-10-23,0.0,['Grinding Gear Games'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet']",Massively Multiplayer,89,82,233530
Tower Unite,2016-04-08,19.99,['PixelTail Games'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Tracked Controller Support', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Family Sharing']",Massively Multiplayer,89,85,15264
